city,city_ascii,region_id,lat,lng,population,density,id
Neosho Falls,Neosho Falls,KS,38.0058,-95.5556,70,86.1,1840008691
Martinsburg,Martinsburg,NE,42.5084,-96.8314,70,47.9,1840011097
Highland Beach,Highland Beach,MD,38.9312,-76.466,70,813.4,1840014944
Libertyville,Libertyville,AL,31.2428,-86.46,70,33.4,1840017094
Pamplin City,Pamplin City,VA,37.2642,-78.682,70,228.9,1840037417
Ringo,Ringo,KS,37.5064,-94.7649,70,17.5,1840058833
Austin,Austin,MS,34.6423,-90.448,70,22.1,1840073959
Fort Seneca,Fort Seneca,OH,41.2044,-83.1679,70,62.8,1840026350
Antioch,Antioch,OH,39.661,-81.0669,70,76.1,1840010593
Faxon,Faxon,OK,34.4603,-98.5794,70,106.1,1840021851
Orrtanna,Orrtanna,PA,39.8459,-77.3594,70,216.4,1840005546
Rose Hill,Rose Hill,IL,39.1042,-88.1497,70,50.5,1840012759
Osaka,Osaka,VA,36.9514,-82.8144,70,66.2,1840117256
Mahaska,Mahaska,KS,39.9873,-97.3537,70,108.2,1840009505
Delacroix,Delacroix,LA,29.7652,-89.7874,70,22.8,1840148576
Shelltown,Shelltown,PA,40.4568,-78.2066,70,71.1,1840101221
Louisburg,Louisburg,MO,37.7564,-93.141,70,44,1840012978
St. Joseph,St. Joseph,IA,42.9123,-94.2308,70,54.7,1840024034
Calvert,Calvert,AL,31.154,-88.0169,70,24.6,1840025955
Lemoyne,Lemoyne,NE,41.2765,-101.8134,70,78.8,1840024161
Bison,Bison,OK,36.196,-97.8979,70,11.7,1840026927
Blanco,Blanco,OK,34.7507,-95.7736,70,40,1840034416
Latham,Latham,MO,38.5599,-92.6814,70,60.2,1840077443
Willington,Willington,SC,33.9687,-82.4576,70,3,1840013692
Climbing Hill,Climbing Hill,IA,42.3394,-96.0811,69,25.9,1840026201
Farmer,Farmer,SD,43.7252,-97.689,69,13.4,1840002645
Columbus,Columbus,ND,48.905,-102.7812,69,141.6,1840001863
Strawn,Strawn,IL,40.6537,-88.3999,69,64.4,1840011789
